text,label
"I think Actually, I can't stop crying my day?!",sad
"Actually, I can't stop crying my day?!?!",sad
"I believe Hmm, I can't stop crying my relationship.",sad
"Hmm, I can't stop crying my relationship. in my opinion",sad
"Hmm, I can't stop crying my relationship.?!",sad
"Maybe You see, I can't stop crying work",sad
"You see, I can't stop crying work in my opinion",sad
"You see, I can't stop crying work...",sad
"Honestly, I'm so excited about my relationship don't you think?...!",happy
"Honestly, I can't believe my future quite",angry
I can't believe my future quite you know?,angry
I think I'm feeling down my day you know,sad
I'm feeling down my day you know don't you think?,sad
"Maybe Look, I'm feeling great today! my family",happy
"Look, I'm feeling great today! my family...?",happy
"In my experience, Hmm, I can't stop crying work...!",sad
"Hmm, I can't stop crying work...!!!",sad
"I'm so excited about my family, I think",happy
"Honestly, I mean, I can't stop thinking about my family very",anxious
"I mean, I can't stop thinking about my family very I think",anxious
"I mean, I can't stop thinking about my family very?!",anxious
"Honestly, Can we discuss my relationship quite",neutral
"You know, I'm so excited about my past actually!!",happy
I'm so excited about my past actually!!?!,happy
I feel like I'm so frustrated with my day,angry
I'm so frustrated with my day from my perspective,angry
I think Can we discuss my relationship,neutral
Can we discuss my relationship maybe,neutral
I'm just checking in my friends don't you think?.,neutral
"In my experience, I'm nervous about my friends as far as I can tell,",anxious
"You know, Can we discuss work quite,",neutral
"Can we discuss work quite,...",neutral
"Hey, I'm just checking in work right?.",neutral
"Actually, Honestly, This makes me really mad my past I believe",angry
"Honestly, This makes me really mad my past I believe I think",angry
"Honestly, This makes me really mad my past I believe...",angry
"Actually, Hmm, I'm feeling great today! my relationship I believe.",happy
"Hmm, I'm feeling great today! my relationship I believe....",happy
I'm really worried about my past it seems right?,anxious
I'm really worried about my past it seems...,anxious
Maybe Can we discuss my relationship you know ,neutral
Can we discuss my relationship you know  in my opinion,neutral
"I think So, I can't believe my past",angry
"So, I can't believe my past you know?",angry
"So, I can't believe my past...?",angry
"So, I'm just checking in my family I believe. right?",neutral
"To be honest, I'm so frustrated with my day wouldn't you say???",angry
"Maybe Listen, I'm feeling down my family right?",sad
"Listen, I'm feeling down my family right? you know?",sad
"You see, I'm feeling great today! school if you ask me",happy
"Actually, Everything is going well my relationship I suppose",happy
"Actually, Hey, I'm feeling great today! work really.",happy
"Maybe Listen, This makes me really mad my family very,",angry
"Listen, This makes me really mad my family very, in my opinion",angry
"Listen, This makes me really mad my family very,!!",angry
"You know, Listen, I'm just checking in my relationship very",neutral
"Listen, I'm just checking in my relationship very?!",neutral
"In my experience, This makes me really mad my day I believe",angry
"You know, I mean, I'm so frustrated with my friends quite",angry
"Honestly, You see, Can we discuss my day",neutral
"You see, Can we discuss my day I think",neutral
I wanted to talk about my health right?,neutral
"Actually, I can't stop thinking about my friends!",anxious
I feel like I'm feeling great today! school I believe...,happy
I'm feeling great today! school I believe... from my perspective,happy
I'm just checking in my job right? in my opinion,neutral
I'm just checking in my job right??!,neutral
I think I'm really worried about work.,anxious
I'm really worried about work.!,anxious
I'm so frustrated with work I suppose!!,angry
"So, Everything is going well my relationship?! in my opinion",happy
"So, Everything is going well my relationship?!...",happy
I'm feeling great today! my relationship,happy
"You know what, I wanted to talk about my day I think in my opinion",neutral
"You know what, I can't believe my past I think... don't you think?",angry
"You know, I'm so excited about my friends you know",happy
I'm so excited about my friends you know don't you think?,happy
I'm so excited about my friends you know...,happy
I feel like I'm feeling great today! my past you know??,happy
"I mean, This makes me really mad my relationship in my opinion",angry
"Actually, I'm feeling great today! my future if you ask me",happy
I'm feeling great today! my future if you ask me...?,happy
"In my experience, This makes me really mad my relationship",angry
"Actually, Hey, I can't believe my family as far as I can tell ",angry
"Hey, I can't believe my family as far as I can tell  from my perspective",angry
I believe I'm so frustrated with my friends,angry
"Look, I'm really upset about my health...! in my opinion",sad
"Actually, To be honest, I'm feeling great today! my friends you know?",happy
"To be honest, I'm feeling great today! my friends you know? in my opinion",happy
"So, I can't believe my health very",angry
"You know, Hmm, I'm just checking in my relationship I think...!",neutral
"Hmm, I'm just checking in my relationship I think...! don't you think?",neutral
"Honestly, Look, I'm feeling down my friends right?",sad
"Look, I'm feeling down my friends right? maybe",sad
"Look, I'm feeling down my friends right?!",sad
"To be honest, I can't believe work as far as I can tell?!",angry
"Hmm, I'm feeling down my relationship? you know?",sad
I'm really worried about my job very!!,anxious
"You see, This makes me really mad work right? you know?",angry
"Listen, I can't believe my job",angry
I can't stop crying my past very  you know?,sad
I believe I can't believe my relationship ,angry
I can't believe my relationship  from my perspective,angry
"I believe Well, I can't stop crying my health in my opinion?!",sad
"Well, I can't stop crying my health in my opinion?! maybe",sad
