text,label
"Honestly, I'm excited for my past from my perspective",positive
"I mean, I need to discuss my relationship it seems from my perspective",neutral
"I mean, I need to discuss my relationship it seems...",neutral
"I feel like Listen, I'm thinking about my relationship",neutral
"Listen, I'm thinking about my relationship you know?",neutral
"Listen, I'm thinking about my relationship?!",neutral
I'm disappointed with my past if you ask me?!,negative
"In my experience, I'm disappointed with my health wouldn't you say?!!",negative
Maybe I'm disappointed with my job,negative
I'm really happy about my day right? don't you think?,positive
"Honestly, I love my day as far as I can tell??",positive
"I feel like You see, I'm disappointed with my future",negative
"Hmm, I hate my friends",negative
I think I hate my day I think!!,negative
I hate my day I think!! right?,negative
I hate my day I think!!!,negative
I need to discuss my health right?...!,neutral
"Well, I'm disappointed with my future I believe you know?",negative
Maybe I'm upset about my day,negative
I'm upset about my day in my opinion,negative
"Maybe Hey, I'm thinking about work I believe",neutral
"In my experience, Let's talk about my future wouldn't you say?",neutral
Let's talk about my future wouldn't you say? you know?,neutral
Maybe I'm disappointed with my friends it seems,negative
I'm disappointed with my friends it seems right?,negative
I'm thinking about my job,neutral
I'm thinking about work it seems you know?,neutral
I'm thinking about work it seems...,neutral
"Look, I'm upset about school wouldn't you say? I think",negative
"Hey, I hate my day in my opinion maybe",negative
"Hey, I hate my day in my opinion!",negative
Let's talk about work from my perspective don't you think?,neutral
Let's talk about work from my perspective?!,neutral
"Actually, Actually, I'm upset about my relationship wouldn't you say?",negative
"I believe I mean, I'm really happy about school you know!",positive
"I mean, I'm really happy about school you know! you know?",positive
"Actually, I hate my health I believe in my opinion",negative
"I think You know what, I'm really happy about my relationship very...!",positive
I feel like I hate my relationship I believe,negative
I hate my relationship I believe in my opinion,negative
I hate my relationship I believe!,negative
I'm disappointed with my day you know?,negative
Maybe I'm disappointed with my day very,negative
I'm disappointed with my day very from my perspective,negative
I'm disappointed with my day very...?,negative
I love my past,positive
Let's talk about my health from my perspective!!,neutral
"You know, I need to discuss my day",neutral
I need to discuss my day...,neutral
I'm excited for my family.!!,positive
"In my experience, Let's talk about school really...!",neutral
Let's talk about school really...! maybe,neutral
I believe I'm disappointed with my family,negative
I'm disappointed with my family I think,negative
"Maybe Well, I'm upset about school very",negative
"Well, I'm upset about school very from my perspective",negative
"Well, I'm upset about school very...",negative
I think I'm upset about my relationship you know,negative
Maybe I'm excited for my friends I believe!!,positive
I'm excited for my friends I believe!! you know?,positive
I'm excited for my friends I believe!!!!,positive
"You know, I love my health from my perspective",positive
I love my health from my perspective I think,positive
I love my health from my perspective?!,positive
I believe I need to discuss my family right?,neutral
"Actually, Well, Let's talk about my future!",neutral
"Well, Let's talk about my future! right?",neutral
"Well, Let's talk about my future!!",neutral
"Honestly, You know what, I love my future right?...!",positive
"You know what, I love my future right?...!!!",positive
"Honestly, Well, I'm disappointed with my health I think...",negative
"Well, I'm disappointed with my health I think... don't you think?",negative
"Well, I'm disappointed with my health I think...!",negative
"I believe Well, I'm really happy about my past quite",positive
"Well, I'm really happy about my past quite right?",positive
"Hey, I'm excited for my day??",positive
"To be honest, I'm really happy about my job very right?",positive
I'm upset about my job I think in my opinion,negative
I'm upset about my job I think...,negative
I'm disappointed with my health ,negative
"Actually, I'm thinking about my job it seems!!!!",neutral
I'm really happy about work if you ask me ,positive
"I think Actually, I'm excited for my day??",positive
"Actually, I'm excited for my day??...",positive
Let's talk about my friends quite right?,neutral
"Honestly, I'm disappointed with my past!!",negative
I think I'm upset about school??,negative
"Honestly, I'm upset about my relationship,",negative
"I'm upset about my relationship,!!",negative
I'm upset about my future very,negative
"I think Look, I'm excited for my future it seems",positive
"Look, I'm excited for my future it seems from my perspective",positive
"Look, I'm excited for my future it seems...",positive
"You know what, I love my family if you ask me I think",positive
"Actually, I mean, I'm excited for my job right?",positive
"I mean, I'm excited for my job right? maybe",positive
"You know what, I hate my health you know?",negative
"You know what, I hate my health!!",negative
I believe I hate work as far as I can tell,negative
I hate work as far as I can tell I think,negative
"I think To be honest, I need to discuss my relationship wouldn't you say?",neutral
"To be honest, I need to discuss my relationship wouldn't you say?...",neutral
I'm really happy about work in my opinion don't you think?,positive
I'm upset about my family if you ask me right?,negative
I'm upset about my family if you ask me...?,negative
I'm really happy about my day!!,positive
"You see, I need to discuss my past I suppose??!",neutral
I need to discuss my friends  in my opinion,neutral
I think I love my relationship I suppose,positive
"Well, I'm disappointed with my relationship you know! right?",negative
"To be honest, I need to discuss my friends...!...?",neutral
I love my health right? from my perspective,positive
"So, I'm disappointed with my past you know in my opinion",negative
I believe I'm disappointed with work?,negative
"Honestly, I mean, I'm thinking about my health",neutral
"I think Well, I'm really happy about my family",positive
"Well, I'm really happy about my family...",positive
"To be honest, I need to discuss my future don't you think?",neutral
"Actually, I'm really happy about my job it seems?",positive
I'm really happy about my job it seems? maybe,positive
I'm really happy about my day you know !,positive
"You know what, I love my health",positive
"In my experience, So, I'm upset about school",negative
"So, I'm upset about school...?",negative
"You see, I'm upset about my relationship in my opinion in my opinion",negative
I feel like I'm disappointed with my relationship,negative
"In my experience, I love work wouldn't you say??",positive
I love work wouldn't you say?? I think,positive
"Listen, I hate my friends I suppose  don't you think?",negative
"Actually, I'm really happy about my friends!...",positive
"In my experience, I need to discuss my past in my opinion...",neutral
I need to discuss my past in my opinion...!,neutral
"In my experience, Listen, I'm upset about my relationship...!",negative
"Listen, I'm upset about my relationship...! from my perspective",negative
"Listen, I'm upset about my relationship...!...",negative
"To be honest, I need to discuss my relationship right?",neutral
I feel like I need to discuss my past you know,neutral
I need to discuss my past you know I think,neutral
"In my experience, To be honest, I'm thinking about my job don't you think?",neutral
"To be honest, I'm thinking about my job don't you think? I think",neutral
"Honestly, I'm excited for my past? maybe",positive
"Honestly, I'm excited for my past?!!",positive
"Honestly, I'm disappointed with my day I suppose!! from my perspective",negative
"You know, I'm upset about my past",negative
"Actually, To be honest, I'm really happy about my family",positive
"To be honest, I'm really happy about my family don't you think?",positive
"Actually, Well, Let's talk about my day actually ",neutral
I'm really happy about my day in my opinion...!!!,positive
Maybe I'm thinking about my future I believe,neutral
I'm thinking about my future I believe?!,neutral
I'm thinking about my friends it seems??...,neutral
"You know, I hate my family wouldn't you say?",negative
I'm thinking about my relationship...!,neutral
"Maybe You know what, I'm thinking about school",neutral
"You know what, I'm thinking about school in my opinion",neutral
"You know what, I'm thinking about school...?",neutral
I'm thinking about my future quite from my perspective,neutral
Let's talk about my future really... in my opinion,neutral
Let's talk about my future really...?!,neutral
"You know, I need to discuss my future quite...",neutral
I need to discuss my future quite...!!,neutral
"To be honest, I'm disappointed with my day you know?",negative
I think Let's talk about my job it seems,neutral
Let's talk about my job it seems!,neutral
"I feel like So, I'm disappointed with work",negative
"So, I'm disappointed with work!!",negative
I feel like I need to discuss my future,neutral
I need to discuss my future don't you think?,neutral
"In my experience, I'm disappointed with my day as far as I can tell...!",negative
I'm disappointed with my day as far as I can tell...! you know?,negative
I'm disappointed with my day as far as I can tell...!...?,negative
"Actually, Hmm, Let's talk about my job I think?!",neutral
"You see, I'm really happy about my job don't you think?... from my perspective",positive
"To be honest, I need to discuss my day it seems",neutral
"Actually, Look, I love my relationship I think",positive
